	context_1	context_2	context_3	high_loss_example	low_loss_example	set_id	cataphora_condition	high_loss	low_loss	loss_diff
0	The students would have their final exams in a week, so they decided to dedicate the weekend to studying.			In the library, Sam gave a book Pamela.	In the library, Sam gave Pamela a book.	filler_ditransitive		3.8623974323272705	3.4056127071380615	0.456784725189209
1	The team had a number of setbacks in the past month, and tensions were high.			In the last meeting, Kim were criticizing Alan.	In the last meeting, Kim was criticizing Alan.	filler_SVAgree_01		3.9960882663726807	3.8417866230010986	0.15430164337158203
2	The competitive nature of the company was extremely stressful, and so many employees tried to demonstrate their worth.			During the weekly meeting, John insulted Mary while praising herself.	During the weekly meeting, John insulted Mary while praising himself.	filler_reflexive_01		4.369641304016113	4.290339946746826	0.07930135726928711
3	The show on Friday was quickly approaching. However, the actors did not feel completely prepared, so they decided to do another rehearsal.			During the rehearsal, John seemed very.	During the rehearsal, John seemed very pleased. 	filler_argument?		3.8383829593658447	3.77386736869812	0.06451559066772461
4	The company was growing quickly, so it was being moved to a bigger location. In the new building, Janet was putting up pictures at her desk. Meanwhile, 			Amy showed him Paul's new office.	Amy showed Paul his new office.	G20_01	A	4.026396751403809	4.030818939208984	-0.004422187805175781
5	Summer was coming to an end. The students were returning to university, many of them by train.			At the train station, Toby told Sarah to take care of himself.	At the train station, Toby told Sarah to take care of herself.	filler_reflexive_02		3.1509549617767334	3.095691442489624	0.055263519287109375
6	The Merriman award was one of the most prestigious art scholarships. Ben thought he had a good chance, but			It was clear to her that Sue would win the scholarship	It was clear to Sue that she would win the scholarship	K01_01	U	4.058634281158447	3.9820733070373535	0.07656097412109375
7	The Saturday play was highly anticipated. When the evening finally arrived, everyone filed into their seats in the auditorium.			During the first act, the children amused.	During the first act, the children amused the audience.	filler_argument?		3.9687769412994385	3.7148044109344482	0.25397253036499023
8	It was the perfect summer day to spend outdoors. Mary went for a jog along the river.			His roommate met John at the park.	John's roommate met him at the park.	GH98_01	A	3.7339348793029785	3.5351107120513916	0.19882416725158691
9	The weekly study session was taking place in the school library. At the corner desk, Susan reviewed the textbook.			At the main table, he gave Fiona Matt's class notes.	At the main table, Matt gave Fiona his class notes.	G20_02	U	4.571010589599609	4.400632858276367	0.1703777313232422
10	At the Christmas party, there was a lot of excitement about the honeymoon.			After dinner, Lisa showed a picture from the trip Tom.	After dinner, Lisa showed Tom a picture from the trip.	filler_ditransitive		3.5410685539245605	3.0947341918945312	0.4463343620300293
11	The assigned summer reading was relatively easy compared to previous years. Anne had managed to finish in only one week. Therefore,			It was surprising to his classmates that Carl wasn't able to complete the reading.	It was surprising to Carl's classmates that he wasn't able to complete the reading.	K01_02	A	3.979341983795166	3.8464341163635254	0.13290786743164062
12	Summer had finally arrived, and vacation plans were underway. Mark went to see the Colosseum in Rome.			She visited Lisa's brother in Spain.	Lisa visited her brother in Spain	GH98_02	U	3.6816227436065674	3.4842307567596436	0.19739198684692383
13	The football team usually performed poorly, but recently they seemed to be doing better.			On Tuesday, Brad were bragging about the latest win.	On Tuesday, Brad was bragging about the latest win.	filler_SVAgree_02		3.9964191913604736	3.790071725845337	0.20634746551513672
14	It was a long and exhausting drive through the desert. Julia was asleep in the passenger seat of the car.			He rubbed his tired eyes in fatigue just as Larry spotted the motel.	Larry rubbed his tired eyes in fatigue just as he spotted the motel.	HB02_01	U	3.524505853652954	3.4926629066467285	0.031842947006225586
15	It was a quiet Friday, and a list of chores was on the agenda. Jack was on the front lawn mowing the grass.			She was finishing the meal preparations when Maggie remembered the doctor appointment in the afternoon. 	Maggie was finishing the meal preparations when she remembered the doctor appointment in the afternoon. 	HB02_02	A	3.8579747676849365	3.6763319969177246	0.18164277076721191
