	high_loss_example	low_loss_example	set_id	cataphora_condition	item_num	gpt2:high_loss	gpt2:low_loss	gpt2:loss_diff
0	he got up from his spot on the couch when Liam heard shouting outside the house.	Liam got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.9701929092407227	3.47528076171875	0.49491214752197266
1	he got up from his spot on the couch when Bill heard shouting outside the house.	Bill got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8585739135742188	3.1797146797180176	0.6788592338562012
2	he got up from his spot on the couch when Steve heard shouting outside the house.	Steve got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7316842079162598	3.0950448513031006	0.6366393566131592
3	he got up from his spot on the couch when Matt heard shouting outside the house.	Matt got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.908522605895996	3.0754523277282715	0.8330702781677246
4	he got up from his spot on the couch when Noah heard shouting outside the house.	Noah got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.9363555908203125	3.3197107315063477	0.6166448593139648
5	he got up from his spot on the couch when Donald heard shouting outside the house.	Donald got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8129611015319824	3.3502140045166016	0.46274709701538086
6	he got up from his spot on the couch when Randolf heard shouting outside the house.	Randolf got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.9001338481903076	3.4263498783111572	0.4737839698791504
7	he got up from his spot on the couch when Edward heard shouting outside the house.	Edward got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8712029457092285	3.0657236576080322	0.8054792881011963
8	he got up from his spot on the couch when William heard shouting outside the house.	William got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.810675621032715	3.0588130950927734	0.7518625259399414
9	he got up from his spot on the couch when Charles heard shouting outside the house.	Charles got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7620978355407715	3.0510683059692383	0.7110295295715332
10	he got up from his spot on the couch when Clyde heard shouting outside the house.	Clyde got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	4.020015239715576	3.14483380317688	0.8751814365386963
11	he got up from his spot on the couch when Joseph heard shouting outside the house.	Joseph got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7677907943725586	2.9662699699401855	0.801520824432373
12	he got up from his spot on the couch when Robert heard shouting outside the house.	Robert got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.823791980743408	3.025672197341919	0.7981197834014893
13	he got up from his spot on the couch when Theodore heard shouting outside the house.	Theodore got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.9516677856445312	3.6472253799438477	0.3044424057006836
14	he got up from his spot on the couch when Michael heard shouting outside the house.	Michael got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7931299209594727	3.051311731338501	0.7418181896209717
15	he got up from his spot on the couch when Mitchell heard shouting outside the house.	Mitchell got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7927098274230957	3.3790993690490723	0.41361045837402344
16	he got up from his spot on the couch when David heard shouting outside the house.	David got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.770803451538086	3.088932514190674	0.6818709373474121
