device: cuda:0
CataphoraDataset, loading data from file: /home/cheung.179/cataphora_data/Kazanina07.tsv
text: It was clear to her that Sue would win the scholarship, but Ben decided to apply for it anyway. , set_id: K07_1_F , condition_id: U , loss: 3.788001537322998
text: It was clear to her that Ben would win the scholarship, but Sue decided to apply for it anyway. , set_id: K07_1_F , condition_id: A , loss: 3.8183887004852295
text: It was clear to him that Ben would win the scholarship, but Sue decided to apply for it anyway. , set_id: K07_1_M , condition_id: U , loss: 3.795903444290161
text: It was clear to him that Sue would win the scholarship, but Ben decided to apply for it anyway. , set_id: K07_1_M , condition_id: A , loss: 3.6929430961608887
text: It seemed suspicious to her that Meg always kept the curtains closed, but Jim didn't think anything of it. , set_id: K07_2_F , condition_id: U , loss: 3.802553415298462
text: It seemed suspicious to her that Jim always kept the curtains closed, but Meg didn't think anything of it. , set_id: K07_2_F , condition_id: A , loss: 3.7375357151031494
text: It seemed suspicious to him that Jim always kept the curtains closed, but Meg didn't think anything of it. , set_id: K07_2_M , condition_id: U , loss: 3.799257516860962
text: It seemed suspicious to him that Meg always kept the curtains closed, but Jim didn't think anything of it. , set_id: K07_2_M , condition_id: A , loss: 3.7665328979492188
text: It was surprising to her that Anne hadn't finished reading the book, although Carl too had found it quite difficult. , set_id: K07_3_F , condition_id: U , loss: 4.044379711151123
text: It was surprising to her that Carl hadn't finished reading the book, although Anne too had found it quite difficult. , set_id: K07_3_F , condition_id: A , loss: 3.9569313526153564
text: It was surprising to him that Carl hadn't finished reading the book, although Anne too had found it quite difficult. , set_id: K07_3_M , condition_id: U , loss: 4.039918899536133
text: It was surprising to him that Anne hadn't finished reading the book, although Carl too had found it quite difficult. , set_id: K07_3_M , condition_id: A , loss: 4.06235933303833
text: It seemed bizarre to her that Linda was running for class president, but Mark tried to be supportive. , set_id: K07_4_F , condition_id: U , loss: 4.181671142578125
text: It seemed bizarre to her that Mark was running for class president, but Linda tried to be supportive. , set_id: K07_4_F , condition_id: A , loss: 4.115495204925537
text: It seemed bizarre to him that Mark was running for class president, but Linda tried to be supportive. , set_id: K07_4_M , condition_id: U , loss: 4.223417282104492
text: It seemed bizarre to him that Linda was running for class president, but Mark tried to be supportive. , set_id: K07_4_M , condition_id: A , loss: 4.120019912719727
text: It seemed strange to her that Carrie wore dark glasses indoors, but Andrew figured it was probably some kind of fashion statement. , set_id: K07_5_F , condition_id: U , loss: 4.256822109222412
text: It seemed strange to her that Andrew wore dark glasses indoors, but Carrie figured it was probably some kind of fashion statement. , set_id: K07_5_F , condition_id: A , loss: 4.260837554931641
text: It seemed strange to him that Andrew wore dark glasses indoors, but Carrie figured it was probably some kind of fashion statement. , set_id: K07_5_M , condition_id: U , loss: 4.356244087219238
text: It seemed strange to him that Carrie wore dark glasses indoors, but Andrew figured it was probably some kind of fashion statement. , set_id: K07_5_M , condition_id: A , loss: 4.201043605804443
text: It was amazing to her that Rachel had landed a job at Microsoft, even though Chad had heard they were hiring a lot of people. , set_id: K07_6_F , condition_id: U , loss: 3.876553535461426
text: It was amazing to her that Chad had landed a job at Microsoft, even though Rachel had heard they were hiring a lot of people. , set_id: K07_6_F , condition_id: A , loss: 3.8202242851257324
text: It was amazing to him that Chad had landed a job at Microsoft, even though Rachel had heard they were hiring a lot of people. , set_id: K07_6_M , condition_id: U , loss: 3.926427125930786
text: It was amazing to him that Rachel had landed a job at Microsoft, even though Chad had heard they were hiring a lot of people. , set_id: K07_6_M , condition_id: A , loss: 3.8716466426849365
text: It was irritating to her that Wendy was always late for work, but Aaron thought that an official reprimand would be too harsh. , set_id: K07_7_F , condition_id: U , loss: 3.9749691486358643
text: It was irritating to her that Aaron was always late for work, but Wendy thought that an official reprimand would be too harsh. , set_id: K07_7_F , condition_id: A , loss: 4.011177062988281
text: It was irritating to him that Aaron was always late for work, but Wendy thought that an official reprimand would be too harsh. , set_id: K07_7_M , condition_id: U , loss: 4.156301975250244
text: It was irritating to him that Wendy was always late for work, but Aaron thought that an official reprimand would be too harsh. , set_id: K07_7_M , condition_id: A , loss: 3.953345537185669
text: It seemed funny to her that Judy wasn't more nervous about the interview, but Dave thought it was probably a good thing. , set_id: K07_8_F , condition_id: U , loss: 3.65400767326355
text: It seemed funny to her that Dave wasn't more nervous about the interview, but Judy thought it was probably a good thing. , set_id: K07_8_F , condition_id: A , loss: 3.5186374187469482
text: It seemed funny to him that Dave wasn't more nervous about the interview, but Judy thought it was probably a good thing. , set_id: K07_8_M , condition_id: U , loss: 3.5639896392822266
text: It seemed funny to him that Judy wasn't more nervous about the interview, but Dave thought it was probably a good thing. , set_id: K07_8_M , condition_id: A , loss: 3.6083059310913086
text: It was obvious to her that Amber was slacking off, but Brian didn't want to say anything about it. , set_id: K07_9_F , condition_id: U , loss: 3.0201432704925537
text: It was obvious to her that Brian was slacking off, but Amber didn't want to say anything about it. , set_id: K07_9_F , condition_id: A , loss: 2.968308210372925
text: It was obvious to him that Brian was slacking off, but Amber didn't want to say anything about it. , set_id: K07_9_M , condition_id: U , loss: 3.030930995941162
text: It was obvious to him that Amber was slacking off, but Brian didn't want to say anything about it. , set_id: K07_9_M , condition_id: A , loss: 3.014554738998413
text: it seemed worrisome to her that Ruth was gaining so much weight, but John didn't have the nerve to comment on it. , set_id: K07_10_F , condition_id: U , loss: 3.670346260070801
text: it seemed worrisome to her that John was gaining so much weight, but Ruth didn't have the nerve to comment on it. , set_id: K07_10_F , condition_id: A , loss: 3.701875686645508
text: it seemed worrisome to him that John was gaining so much weight, but Ruth didn't have the nerve to comment on it. , set_id: K07_10_M , condition_id: U , loss: 3.756197690963745
text: it seemed worrisome to him that Ruth was gaining so much weight, but John didn't have the nerve to comment on it. , set_id: K07_10_M , condition_id: A , loss: 3.642930746078491
text: It seemed encouraging to her that Jen was spending more time on homework, but Rob still thought a tutor might be needed. , set_id: K07_11_F , condition_id: U , loss: 4.367310523986816
text: It seemed encouraging to her that Rob was spending more time on homework, but Jen still thought a tutor might be needed. , set_id: K07_11_F , condition_id: A , loss: 4.345395088195801
text: It seemed encouraging to him that Rob was spending more time on homework, but Jen still thought a tutor might be needed. , set_id: K07_11_M , condition_id: U , loss: 4.377694606781006
text: It seemed encouraging to him that Jen was spending more time on homework, but Rob still thought a tutor might be needed. , set_id: K07_11_M , condition_id: A , loss: 4.3644914627075195
text: It seemed unusual to her that Heather had packed a coat for the trip to Florida, but Brandon didn't question it. , set_id: K07_12_F , condition_id: U , loss: 3.917128801345825
text: It seemed unusual to her that Brandon had packed a coat for the trip to Florida, but Heather didn't question it. , set_id: K07_12_F , condition_id: A , loss: 3.87996244430542
text: It seemed unusual to him that Brandon had packed a coat for the trip to Florida, but Heather didn't question it. , set_id: K07_12_M , condition_id: U , loss: 4.0178914070129395
text: It seemed unusual to him that Heather had packed a coat for the trip to Florida, but Brandon didn't question it. , set_id: K07_12_M , condition_id: A , loss: 3.900545597076416
text: It seemed alarming to her that Michelle was stationed in the war zone, but Charles tried not to think about it.  , set_id: K07_13_F , condition_id: U , loss: 3.8958799839019775
text: It seemed alarming to her that Charles was stationed in the war zone, but Michelle tried not to think about it.  , set_id: K07_13_F , condition_id: A , loss: 3.7545597553253174
text: It seemed alarming to him that Charles was stationed in the war zone, but Michelle tried not to think about it.  , set_id: K07_13_M , condition_id: U , loss: 3.8922390937805176
text: It seemed alarming to him that Michelle was stationed in the war zone, but Charles tried not to think about it.  , set_id: K07_13_M , condition_id: A , loss: 3.8824267387390137
text: It seemed logical to her that Sarah finish school before getting married, even though Roger didn't want to wait. , set_id: K07_16_F , condition_id: U , loss: 4.114673137664795
text: It seemed logical to her that Roger finish school before getting married, even though Sarah didn't want to wait. , set_id: K07_16_F , condition_id: A , loss: 4.240339756011963
text: It seemed logical to him that Roger finish school before getting married, even though Sarah didn't want to wait. , set_id: K07_16_M , condition_id: U , loss: 4.252840995788574
text: It seemed logical to him that Sarah finish school before getting married, even though Roger didn't want to wait. , set_id: K07_16_M , condition_id: A , loss: 4.072508811950684
text: It was offensive to her that Debra insulted the diplomat, but Jacob chose to ignore the incident. , set_id: K07_17_F , condition_id: U , loss: 4.510644435882568
text: It was offensive to her that Jacob insulted the diplomat, but Debra chose to ignore the incident. , set_id: K07_17_F , condition_id: A , loss: 4.607954025268555
text: It was offensive to him that Jacob insulted the diplomat, but Debra chose to ignore the incident. , set_id: K07_17_M , condition_id: U , loss: 4.8521409034729
text: It was offensive to him that Debra insulted the diplomat, but Jacob chose to ignore the incident. , set_id: K07_17_M , condition_id: A , loss: 4.618303298950195
text: It was unfortunate for her that Rita had misplaced the house keys, but Kyle managed to get in through a window.  , set_id: K07_18_F , condition_id: U , loss: 4.146822929382324
text: It was unfortunate for her that Kyle had misplaced the house keys, but Rita managed to get in through a window.  , set_id: K07_18_F , condition_id: A , loss: 4.074278831481934
text: It was unfortunate for him that Kyle had misplaced the house keys, but Rita managed to get in through a window.  , set_id: K07_18_M , condition_id: U , loss: 4.225811004638672
text: It was unfortunate for him that Rita had misplaced the house keys, but Kyle managed to get in through a window.  , set_id: K07_18_M , condition_id: A , loss: 4.178426265716553
text: It was surprising to her that Alison had requested the money, but Thomas didn't have any problems with sending it. , set_id: K07_19_F , condition_id: U , loss: 3.763406276702881
text: It was surprising to her that Thomas had requested the money, but Alison didn't have any problems with sending it. , set_id: K07_19_F , condition_id: A , loss: 3.7816178798675537
text: It was surprising to him that Thomas had requested the money, but Alison didn't have any problems with sending it. , set_id: K07_19_M , condition_id: U , loss: 3.8455018997192383
text: It was surprising to him that Alison had requested the money, but Thomas didn't have any problems with sending it. , set_id: K07_19_M , condition_id: A , loss: 3.7707319259643555
text: It was acceptable to her that Diana would drive the car through the mountains, but Mike hoped there would be no need for it.  , set_id: K07_20_F , condition_id: U , loss: 3.9246668815612793
text: It was acceptable to her that Mike would drive the car through the mountains, but Diana hoped there would be no need for it.  , set_id: K07_20_F , condition_id: A , loss: 3.8696398735046387
text: It was acceptable to him that Mike would drive the car through the mountains, but Diana hoped there would be no need for it.  , set_id: K07_20_M , condition_id: U , loss: 3.930117607116699
text: It was acceptable to him that Diana would drive the car through the mountains, but Mike hoped there would be no need for it.  , set_id: K07_20_M , condition_id: A , loss: 3.900535821914673
text: It was fine with her that Laura had cancelled the magazine subscription, but Harry was worried the nurses would miss it. , set_id: K07_21_F , condition_id: U , loss: 4.7005839347839355
text: It was fine with her that Harry had cancelled the magazine subscription, but Laura was worried the nurses would miss it. , set_id: K07_21_F , condition_id: A , loss: 4.7040557861328125
text: It was fine with him that Harry had cancelled the magazine subscription, but Laura was worried the nurses would miss it. , set_id: K07_21_M , condition_id: U , loss: 4.755494594573975
text: It was fine with him that Laura had cancelled the magazine subscription, but Harry was worried the nurses would miss it. , set_id: K07_21_M , condition_id: A , loss: 4.741450309753418
text: It was shocking to her that Sarah was pleading guilty to the charges, but Eric came to terms with it quickly. , set_id: K07_22_F , condition_id: U , loss: 3.693849802017212
text: It was shocking to her that Eric was pleading guilty to the charges, but Sarah came to terms with it quickly. , set_id: K07_22_F , condition_id: A , loss: 3.511986494064331
text: It was shocking to him that Eric was pleading guilty to the charges, but Sarah came to terms with it quickly. , set_id: K07_22_M , condition_id: U , loss: 3.6131272315979004
text: It was shocking to him that Sarah was pleading guilty to the charges, but Eric came to terms with it quickly. , set_id: K07_22_M , condition_id: A , loss: 3.622016191482544
text: It was laughable to her that Melanie intended to record rap albums, but Frank didn't want to discourage it. , set_id: K07_23_F , condition_id: U , loss: 4.6129584312438965
text: It was laughable to her that Frank intended to record rap albums, but Melanie didn't want to discourage it. , set_id: K07_23_F , condition_id: A , loss: 4.48533821105957
text: It was laughable to him that Frank intended to record rap albums, but Melanie didn't want to discourage it. , set_id: K07_23_M , condition_id: U , loss: 4.5841875076293945
text: It was laughable to him that Melanie intended to record rap albums, but Frank didn't want to discourage it. , set_id: K07_23_M , condition_id: A , loss: 4.602944374084473
text: It was comforting to her that Renee had landed safely, but Kevin was still worried about the rest of the trip. , set_id: K07_24_F , condition_id: U , loss: 3.685791254043579
text: It was comforting to her that Kevin had landed safely, but Renee was still worried about the rest of the trip. , set_id: K07_24_F , condition_id: A , loss: 3.5089738368988037
text: It was comforting to him that Kevin had landed safely, but Renee was still worried about the rest of the trip. , set_id: K07_24_M , condition_id: U , loss: 3.533163547515869
text: It was comforting to him that Renee had landed safely, but Kevin was still worried about the rest of the trip. , set_id: K07_24_M , condition_id: A , loss: 3.616598606109619
text: It seemed unwise to her that Pamela remarry weeks after the divorce, but Steven didn't want to voice any misgivings. , set_id: K07_25_F , condition_id: U , loss: 4.213461399078369
text: It seemed unwise to her that Steven remarry weeks after the divorce, but Pamela didn't want to voice any misgivings. , set_id: K07_25_F , condition_id: A , loss: 4.219161033630371
text: It seemed unwise to him that Steven remarry weeks after the divorce, but Pamela didn't want to voice any misgivings. , set_id: K07_25_M , condition_id: U , loss: 4.301113128662109
text: It seemed unwise to him that Pamela remarry weeks after the divorce, but Steven didn't want to voice any misgivings. , set_id: K07_25_M , condition_id: A , loss: 4.220399856567383
text: It seemed wrong to her that Anita took credit for the project, but Dave continued to work hard. , set_id: K07_26_F , condition_id: U , loss: 4.211092472076416
text: It seemed wrong to her that Dave took credit for the project, but Anita continued to work hard. , set_id: K07_26_F , condition_id: A , loss: 4.1133270263671875
text: It seemed wrong to him that Dave took credit for the project, but Anita continued to work hard. , set_id: K07_26_M , condition_id: U , loss: 4.2068190574646
text: It seemed wrong to him that Anita took credit for the project, but Dave continued to work hard. , set_id: K07_26_M , condition_id: A , loss: 4.182249069213867
text: It was evident to her that Amy had eaten all the donuts, but Bob pretended not to notice. , set_id: K07_28_F , condition_id: U , loss: 3.890643358230591
text: It was evident to her that Bob had eaten all the donuts, but Amy pretended not to notice. , set_id: K07_28_F , condition_id: A , loss: 3.785884141921997
text: It was evident to him that Bob had eaten all the donuts, but Amy pretended not to notice. , set_id: K07_28_M , condition_id: U , loss: 3.853212833404541
text: It was evident to him that Amy had eaten all the donuts, but Bob pretended not to notice. , set_id: K07_28_M , condition_id: A , loss: 3.857013702392578
text: It seemed troubling to her that Irene listened to such loud music, but Mark was fine with it as long as the chores got done. , set_id: K07_29_F , condition_id: U , loss: 4.121780872344971
text: It seemed troubling to her that Mark listened to such loud music, but Irene was fine with it as long as the chores got done. , set_id: K07_29_F , condition_id: A , loss: 4.107089519500732
text: It seemed troubling to him that Mark listened to such loud music, but Irene was fine with it as long as the chores got done. , set_id: K07_29_M , condition_id: U , loss: 4.153432846069336
