	high_loss_example	low_loss_example	set_id	cataphora_condition	gpt2-large:gpt2-large:high_loss	gpt2-large:gpt2-large:low_loss	gpt2-large:gpt2-large:loss_diff	gpt2:gpt2:high_loss	gpt2:gpt2:low_loss	gpt2:gpt2:loss_diff	gpt2-medium:gpt2-medium:high_loss	gpt2-medium:gpt2-medium:low_loss	gpt2-medium:gpt2-medium:loss_diff
0	It was clear to him that Liam would win the scholarship.	It was clear to Liam that he would win the scholarship.	K07	U	4.222240924835205	3.935396432876587	0.2868444919586181	4.081094741821289	4.037330150604248	0.043764591217041	4.092211723327637	3.945833683013916	0.1463780403137207
1	It was clear to him that Bill would win the scholarship.	It was clear to Bill that he would win the scholarship.	K07	U	3.902634382247925	3.74416708946228	0.1584672927856445	4.018099308013916	3.89443302154541	0.1236662864685058	4.027934074401856	3.8327300548553462	0.1952040195465088
2	It was clear to him that Steve would win the scholarship.	It was clear to Steve that he would win the scholarship.	K07	U	3.919213056564331	3.6410064697265625	0.2782065868377685	4.005691051483154	3.714889764785767	0.2908012866973877	3.986187219619751	3.778068780899048	0.2081184387207031
3	It was clear to him that Matt would win the scholarship.	It was clear to Matt that he would win the scholarship.	K07	U	4.005170822143555	3.737435817718506	0.2677350044250488	3.952205657958984	3.7483162879943848	0.2038893699645996	3.9218223094940186	3.663322687149048	0.2584996223449707
4	It was clear to him that Noah would win the scholarship.	It was clear to Noah that he would win the scholarship.	K07	U	4.060666561126709	3.776960611343384	0.2837059497833252	3.942821502685547	3.863533973693848	0.0792875289916992	4.003018856048584	3.819636583328247	0.1833822727203369
5	It was clear to him that Donald would win the scholarship.	It was clear to Donald that he would win the scholarship.	K07	U	3.999556064605713	3.8951051235198975	0.1044509410858154	4.224791526794434	4.267358303070068	-0.0425667762756347	4.027842044830322	3.9053704738616943	0.1224715709686279
6	It was clear to him that Randolf would win the scholarship.	It was clear to Randolf that he would win the scholarship.	K07	U	4.066143989562988	3.950044631958008	0.1160993576049804	4.187309741973877	4.014840126037598	0.1724696159362793	4.241559505462647	4.12675142288208	0.1148080825805664
7	It was clear to him that Edward would win the scholarship.	It was clear to Edward that he would win the scholarship.	K07	U	3.98417592048645	3.797178030014038	0.1869978904724121	4.041835308074951	3.971840143203736	0.0699951648712158	4.107628345489502	3.9484262466430655	0.1592020988464355
8	It was clear to him that William would win the scholarship.	It was clear to William that he would win the scholarship.	K07	U	3.932417392730713	3.76513671875	0.1672806739807129	3.9418561458587646	3.836872100830078	0.1049840450286865	4.038751602172852	3.821302890777588	0.2174487113952636
9	It was clear to him that Charles would win the scholarship.	It was clear to Charles that he would win the scholarship.	K07	U	3.922558546066284	3.69500732421875	0.2275512218475341	3.898467779159546	3.910771131515503	-0.012303352355957	4.05162239074707	3.7805488109588623	0.271073579788208
10	It was clear to him that Clyde would win the scholarship.	It was clear to Clyde that he would win the scholarship.	K07	U	4.200613021850586	3.885157585144043	0.3154554367065429	4.1114583015441895	4.052097320556641	0.0593609809875488	4.270529270172119	3.936154365539551	0.3343749046325683
11	It was clear to him that Joseph would win the scholarship.	It was clear to Joseph that he would win the scholarship.	K07	U	4.012092113494873	3.6993837356567374	0.3127083778381347	3.9338958263397217	3.696502447128296	0.2373933792114257	4.0254974365234375	3.898965358734131	0.1265320777893066
12	It was clear to him that Robert would win the scholarship.	It was clear to Robert that he would win the scholarship.	K07	U	3.883935689926148	3.714596748352051	0.1693389415740966	3.944272518157959	3.902333021163941	0.0419394969940185	4.056859016418457	3.871286869049072	0.1855721473693847
13	It was clear to him that Theodore would win the scholarship.	It was clear to Theodore that he would win the scholarship.	K07	U	4.140322685241699	3.937379360198975	0.2029433250427246	4.133094310760498	4.063785552978516	0.0693087577819824	4.167782783508301	4.004151344299316	0.1636314392089843
14	It was clear to him that Michael would win the scholarship.	It was clear to Michael that he would win the scholarship.	K07	U	3.8511650562286377	3.651907205581665	0.1992578506469726	3.886359930038452	3.782584190368652	0.1037757396697998	3.957195520401001	3.637559413909912	0.3196361064910888
15	It was clear to him that Mitchell would win the scholarship.	It was clear to Mitchell that he would win the scholarship.	K07	U	3.8518877029418954	3.729008436203003	0.1228792667388916	3.913548231124878	3.7227516174316406	0.1907966136932373	3.9276764392852783	3.671749830245972	0.2559266090393066
16	It was clear to him that David would win the scholarship.	It was clear to David that he would win the scholarship.	K07	U	3.9065420627594	3.568405866622925	0.3381361961364746	3.840135335922241	3.72305965423584	0.1170756816864013	3.9620680809021	3.751108407974243	0.2109596729278564
17	It was clear to him that Andrew would win the scholarship.	It was clear to Andrew that he would win the scholarship.	K07	U	4.061380386352539	3.699342250823975	0.3620381355285644	3.937134027481079	3.869245767593384	0.0678882598876953	4.009217739105225	3.7627980709075928	0.2464196681976318
18	It was clear to him that James would win the scholarship.	It was clear to James that he would win the scholarship.	K07	U	3.713523149490357	3.531036615371704	0.1824865341186523	3.725700616836548	3.653627157211304	0.0720734596252441	3.852510690689087	3.5886635780334477	0.2638471126556396
19	It was clear to him that John would win the scholarship.	It was clear to John that he would win the scholarship.	K07	U	3.862132787704468	3.602845907211304	0.259286880493164	3.87449049949646	3.7608680725097656	0.1136224269866943	3.9283270835876474	3.7143568992614746	0.2139701843261718
20	It was clear to him that Christopher would win the scholarship.	It was clear to Christopher that he would win the scholarship.	K07	U	4.080442428588867	3.794903039932251	0.2855393886566162	4.099367618560791	4.127717971801758	-0.0283503532409667	4.111534595489502	3.877556085586548	0.2339785099029541
21	It was clear to him that Brian would win the scholarship.	It was clear to Brian that he would win the scholarship.	K07	U	3.95710015296936	3.760157585144043	0.1969425678253173	4.01646089553833	3.858185052871704	0.1582758426666259	4.007288455963135	3.7483932971954346	0.2588951587677002
22	It was clear to him that Mark would win the scholarship.	It was clear to Mark that he would win the scholarship.	K07	U	3.926441192626953	3.628492832183838	0.2979483604431152	3.9336233139038086	3.7614729404449454	0.1721503734588623	4.038266658782959	3.741567850112915	0.2966988086700439
