	high_loss_example	low_loss_example	set_id	cataphora_condition	high_loss	low_loss	loss_diff
0	She got up from her spot on the couch when May heard shouting outside the house.	May got up from her spot on the couch when she heard shouting outside the house.	HB02	U	3.3424787521362305	2.9372572898864746	0.40522146224975586
1	She was getting ready to lie down on the couch when May heard shouting outside the house.	May was getting ready to lie down on the couch when she heard shouting outside the house.	HB02	A	3.2699217796325684	3.0477850437164307	0.2221367359161377
2	He rubbed his tired eyes in fatigue just as Jack spotted the car behind a billboard.	Jack rubbed his tired eyes in fatigue just as he spotted the car behind a billboard.	HB02	U	5.124764442443848	4.777034759521484	0.3477296829223633
3	He was rubbing his tired eyes in fatigue when Jack spotted the car behind a billboard.	Jack was rubbing his tired eyes in fatigue when he spotted the car behind a billboard.	HB02	A	4.74604606628418	4.3086018562316895	0.43744421005249023
4	He stopped unpacking when Jeff lost the inventory list.	Jeff stopped unpacking when he lost the inventory list.	HB02	U	5.912079334259033	5.58413028717041	0.32794904708862305
5	He had just begun unpacking when Jeff lost the inventory list.	Jeff had just begun unpacking when he lost the inventory list.	HB02	A	5.037696361541748	4.627007961273193	0.4106884002685547
6	She finished the meal preparations before Maggie remembered they had forgotten an important ingredient.	Maggie finished the meal preparations before she remembered they had forgotten an important ingredient.	HB02	U	5.246795654296875	4.833158493041992	0.4136371612548828
7	She had already finished the meal preparations when Maggie remembered they had forgotten an important ingredient. 	Maggie had already finished the meal preparations when she remembered they had forgotten an important ingredient. 	HB02	A	4.7226128578186035	4.164140701293945	0.5584721565246582
8	He placed a few bets even though Mike was advised that the cops were in the bar.	Mike placed a few bets even though he was advised that the cops were in the bar.	HB02	U	4.814858913421631	4.42753791809082	0.38732099533081055
9	He was about to place a few bets when Mike was advised that the cops were in the bar.	Mike was about to place a few bets when he was advised that the cops were in the bar.	HB02	A	3.924283504486084	3.691606283187866	0.23267722129821777
10	He felt very confident until Larry was accosted by a grim-faced policeman.	Larry felt very confident until he was accosted by a grim-faced policeman.	HB02	U	4.0881028175354	3.602139711380005	0.4859631061553955
11	He had just entered the room when Larry was accosted by a grim-faced policeman.	Larry had just entered the room when he was accosted by a grim-faced policeman.	HB02	A	3.1488122940063477	2.719496488571167	0.42931580543518066
12	He discussed a bankruptcy option before Marshall hit on a solution to their problems.	Marshall discussed a bankruptcy option before he hit on a solution to their problems.	HB02	U	5.267104625701904	4.722623825073242	0.5444808006286621
13	He was discussing a bankruptcy option when Marshall hit on a solution to their problems.	Marshall was discussing a bankruptcy option when he hit on a solution to their problems.	HB02	A	4.685924053192139	4.115185737609863	0.5707383155822754
14	He spat into the mask as Carlos dropped the weight belts on his foot.	Carlos spat into the mask as he dropped the weight belts on his foot.	HB02	U	5.536323070526123	4.623414039611816	0.9129090309143066
15	He was spitting into the mask when Carlos dropped the weight belts on his foot.	Carlos was spitting into the mask when he dropped the weight belts on his foot.	HB02	A	4.89042854309082	4.3414082527160645	0.5490202903747559
16	She began to complain about her bad grade though Liz observed that their professor was standing nearby.	Liz began to complain about her bad grade though she observed that their professor was standing nearby.	HB02	U	4.915402412414551	4.652393341064453	0.26300907135009766
17	She had just begun to complain about her bad grade even though Liz observed that their professor was standing nearby.	Liz had just begun to complain about her bad grade even though she observed that their professor was standing nearby.	HB02	A	4.433191776275635	4.144961833953857	0.28822994232177734
18	He decided to purchase the magazine when Scott saw that a friend of theirs was on the cover.	Scott decided to purchase the magazine when he saw that a friend of theirs was on the cover.	HB02	U	3.8413331508636475	3.40002703666687	0.44130611419677734
19	He was deciding to purchase the magazine when Scott saw that a friend of theirs was on the cover.	Scott was deciding to purchase the magazine when he saw that a friend of theirs was on the cover.	HB02	A	4.065464019775391	3.5686850547790527	0.4967789649963379
20	He tossed the trains at the wall when Walter discovered some trains would no longer function.	Walter tossed the trains at the wall when he discovered some trains would no longer function.	HB02	U	5.331326961517334	4.657643795013428	0.6736831665039062
21	He was tossing the trains at the wall when Walter discovered some trains would no longer function.	Walter was tossing the trains at the wall when he discovered some trains would no longer function.	HB02	A	5.069217681884766	4.531199932098389	0.538017749786377
22	He stayed with underground writers when Ben was ordered to leave the country.	Ben stayed with underground writers when he was ordered to leave the country.	HB02	U	5.163740158081055	4.844051837921143	0.3196883201599121
23	He was staying with underground writers when Ben was ordered to leave the country.	Ben was staying with underground writers when he was ordered to leave the country.	HB02	A	4.676342964172363	4.299127101898193	0.3772158622741699
24	He stopped to buy some extra film when Jerry saw a really cute monkey. 	Jerry stopped to buy some extra film when he saw a really cute monkey. 	HB02	U	5.462430953979492	4.700716018676758	0.7617149353027344
25	He was stopping to buy some extra film when Jerry saw a really cute monkey. 	Jerry was stopping to buy some extra film when he saw a really cute monkey. 	HB02	A	5.238635540008545	4.501303672790527	0.7373318672180176
26	She rowed towards shore when Felice felt the first ominous drops of rain. 	Felice rowed towards shore when she felt the first ominous drops of rain. 	HB02	U	5.814705848693848	4.989325523376465	0.8253803253173828
27	She was rowing towards shore when Felice felt the first ominous drops of rain. 	Felice was rowing towards shore when she felt the first ominous drops of rain. 	HB02	A	5.028086185455322	4.151609420776367	0.8764767646789551
28	He described the various expenses when Bruce observed that the financial counsellor looked dubious.	Bruce described the various expenses when he observed that the financial counsellor looked dubious.	HB02	U	5.293664932250977	4.91970682144165	0.37395811080932617
29	He was describing the various expenses when Bruce observed that the financial counsellor looked dubious.	Bruce was describing the various expenses when he observed that the financial counsellor looked dubious.	HB02	A	4.999591827392578	4.550495624542236	0.4490962028503418
30	He started a new business when Greg heard that the Feds were closing down the old company. 	Greg started a new business when he heard that the Feds were closing down the old company. 	HB02	U	4.193346977233887	3.902578592300415	0.2907683849334717
31	He was starting a new business when Greg heard that the Feds were closing down the old company. 	Greg was starting a new business when he heard that the Feds were closing down the old company. 	HB02	A	3.9970970153808594	3.595715284347534	0.4013817310333252
32	He decided to join the Army when David received a telegram that their father had died. 	David decided to join the Army when he received a telegram that their father had died. 	HB02	U	3.7633955478668213	3.6616668701171875	0.10172867774963379
33	He was deciding to join the Army when David received a telegram that their father had died. 	David was deciding to join the Army when he received a telegram that their father had died. 	HB02	A	3.79258131980896	3.555602550506592	0.23697876930236816
34	She yelled about the landslide when Darlene was struck by a falling rock.	Darlene yelled about the landslide when she was struck by a falling rock.	HB02	U	4.312718868255615	4.20754337310791	0.10517549514770508
35	She was yelling about the landslide when Darlene was struck by a falling rock.	Darlene was yelling about the landslide when she was struck by a falling rock.	HB02	A	3.9387576580047607	3.7041563987731934	0.23460125923156738
