	high_loss_example	low_loss_example	set_id	cataphora_condition	item_num	gpt2-large:high_loss	gpt2-large:low_loss	gpt2-large:loss_diff
0	he got up from his spot on the couch when Liam heard shouting outside the house.	Liam got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6742310523986816	3.0826358795166016	0.5915951728820801
1	he got up from his spot on the couch when Bill heard shouting outside the house.	Bill got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5686817169189453	2.8051164150238037	0.7635653018951416
2	he got up from his spot on the couch when Steve heard shouting outside the house.	Steve got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5677051544189453	2.7187981605529785	0.8489069938659668
3	he got up from his spot on the couch when Matt heard shouting outside the house.	Matt got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5321640968322754	2.8397727012634277	0.6923913955688477
4	he got up from his spot on the couch when Noah heard shouting outside the house.	Noah got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.695003032684326	2.8891799449920654	0.8058230876922607
5	he got up from his spot on the couch when Donald heard shouting outside the house.	Donald got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6780998706817627	2.8688650131225586	0.8092348575592041
6	he got up from his spot on the couch when Randolf heard shouting outside the house.	Randolf got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7117350101470947	3.0648372173309326	0.6468977928161621
7	he got up from his spot on the couch when Edward heard shouting outside the house.	Edward got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6403298377990723	2.9504783153533936	0.6898515224456787
8	he got up from his spot on the couch when William heard shouting outside the house.	William got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5906383991241455	2.760469436645508	0.8301689624786377
9	he got up from his spot on the couch when Charles heard shouting outside the house.	Charles got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.573249101638794	2.7800800800323486	0.7931690216064453
10	he got up from his spot on the couch when Clyde heard shouting outside the house.	Clyde got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.71682071685791	2.887984275817871	0.8288364410400391
11	he got up from his spot on the couch when Joseph heard shouting outside the house.	Joseph got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.494028091430664	2.816915512084961	0.6771125793457031
12	he got up from his spot on the couch when Robert heard shouting outside the house.	Robert got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.577981948852539	2.876913547515869	0.7010684013366699
13	he got up from his spot on the couch when Theodore heard shouting outside the house.	Theodore got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7850253582000732	3.228494644165039	0.5565307140350342
14	he got up from his spot on the couch when Michael heard shouting outside the house.	Michael got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.512270927429199	2.7711427211761475	0.7411282062530518
15	he got up from his spot on the couch when Mitchell heard shouting outside the house.	Mitchell got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6390998363494873	2.524383306503296	1.1147165298461914
16	he got up from his spot on the couch when David heard shouting outside the house.	David got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.567971706390381	2.8285775184631348	0.7393941879272461
17	he got up from his spot on the couch when Andrew heard shouting outside the house.	Andrew got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.616168260574341	2.8081881999969482	0.8079800605773926
18	he got up from his spot on the couch when James heard shouting outside the house.	James got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5316309928894043	2.70690655708313	0.8247244358062744
19	he got up from his spot on the couch when John heard shouting outside the house.	John got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.4866456985473633	2.745725631713867	0.7409200668334961
20	he got up from his spot on the couch when Christopher heard shouting outside the house.	Christopher got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6378653049468994	2.8070526123046875	0.8308126926422119
21	he got up from his spot on the couch when Brian heard shouting outside the house.	Brian got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6259994506835938	2.7567977905273438	0.86920166015625
22	he got up from his spot on the couch when Mark heard shouting outside the house.	Mark got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5915675163269043	2.853522777557373	0.7380447387695312
23	he got up from his spot on the couch when Richard heard shouting outside the house.	Richard got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5818228721618652	2.790355682373047	0.7914671897888184
24	he got up from his spot on the couch when Jeffrey heard shouting outside the house.	Jeffrey got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7165331840515137	2.8744730949401855	0.8420600891113281
25	he got up from his spot on the couch when Scott heard shouting outside the house.	Scott got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.588624954223633	2.731135845184326	0.8574891090393066
26	he got up from his spot on the couch when Jason heard shouting outside the house.	Jason got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6024227142333984	2.806818723678589	0.7956039905548096
27	he got up from his spot on the couch when Kevin heard shouting outside the house.	Kevin got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5469255447387695	2.7794387340545654	0.7674868106842041
28	he got up from his spot on the couch when Steven heard shouting outside the house.	Steven got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.534550189971924	2.7137863636016846	0.8207638263702393
29	he got up from his spot on the couch when Thomas heard shouting outside the house.	Thomas got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5636749267578125	2.70805287361145	0.8556220531463623
30	he got up from his spot on the couch when Eric heard shouting outside the house.	Eric got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6535065174102783	2.8147268295288086	0.8387796878814697
31	he got up from his spot on the couch when Daniel heard shouting outside the house.	Daniel got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5869884490966797	2.8601319789886475	0.7268564701080322
32	he got up from his spot on the couch when Timothy heard shouting outside the house.	Timothy got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6960489749908447	2.8790931701660156	0.8169558048248291
33	he got up from his spot on the couch when Paul heard shouting outside the house.	Paul got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5314137935638428	2.7385129928588867	0.792900800704956
34	he got up from his spot on the couch when Kenneth heard shouting outside the house.	Kenneth got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6368324756622314	2.836648464202881	0.8001840114593506
35	he got up from his spot on the couch when Gregory heard shouting outside the house.	Gregory got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.691179037094116	2.6728482246398926	1.0183308124542236
36	he got up from his spot on the couch when Stephen heard shouting outside the house.	Stephen got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6344692707061768	2.817725658416748	0.8167436122894287
37	he got up from his spot on the couch when Todd heard shouting outside the house.	Todd got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6762452125549316	2.7499794960021973	0.9262657165527344
38	he got up from his spot on the couch when Ronald heard shouting outside the house.	Ronald got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6027655601501465	2.859071969985962	0.7436935901641846
39	he got up from his spot on the couch when Patrick heard shouting outside the house.	Patrick got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.669856548309326	2.7773048877716064	0.8925516605377197
40	he got up from his spot on the couch when Gary heard shouting outside the house.	Gary got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5618276596069336	2.804737091064453	0.7570905685424805
41	he got up from his spot on the couch when Douglas heard shouting outside the house.	Douglas got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6881189346313477	2.726917028427124	0.9612019062042236
42	he got up from his spot on the couch when Keith heard shouting outside the house.	Keith got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.572032928466797	2.8001978397369385	0.7718350887298584
43	he got up from his spot on the couch when Craig heard shouting outside the house.	Craig got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6782796382904053	2.7808961868286133	0.897383451461792
44	he got up from his spot on the couch when George heard shouting outside the house.	George got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.584885597229004	2.736119270324707	0.8487663269042969
45	he got up from his spot on the couch when Larry heard shouting outside the house.	Larry got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5282950401306152	2.770625352859497	0.7576696872711182
46	he got up from his spot on the couch when Peter heard shouting outside the house.	Peter got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6282548904418945	2.8141796588897705	0.814075231552124
47	he got up from his spot on the couch when Jerry heard shouting outside the house.	Jerry got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.596442699432373	2.7878172397613525	0.8086254596710205
48	he got up from his spot on the couch when Dennis heard shouting outside the house.	Dennis got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.629237174987793	3.025963068008423	0.6032741069793701
49	he got up from his spot on the couch when Bradley heard shouting outside the house.	Bradley got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6817476749420166	2.7348527908325195	0.9468948841094971
50	he got up from his spot on the couch when Brad heard shouting outside the house.	Brad got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6085281372070312	2.922330617904663	0.6861975193023682
51	he got up from his spot on the couch when Frank heard shouting outside the house.	Frank got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.581109046936035	2.7415847778320312	0.8395242691040039
52	he got up from his spot on the couch when Raymond heard shouting outside the house.	Raymond got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.678196907043457	2.9564692974090576	0.7217276096343994
53	he got up from his spot on the couch when Chad heard shouting outside the house.	Chad got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7061269283294678	2.960853338241577	0.7452735900878906
54	he got up from his spot on the couch when Aaron heard shouting outside the house.	Aaron got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.624708652496338	2.7910408973693848	0.8336677551269531
55	he got up from his spot on the couch when Rodney heard shouting outside the house.	Rodney got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.655626058578491	2.8760480880737305	0.7795779705047607
56	he got up from his spot on the couch when Russell heard shouting outside the house.	Russell got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6139039993286133	2.7192277908325195	0.8946762084960938
57	he got up from his spot on the couch when Roger heard shouting outside the house.	Roger got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6854147911071777	2.797036647796631	0.8883781433105469
58	he got up from his spot on the couch when Samuel heard shouting outside the house.	Samuel got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.611344814300537	2.953948497772217	0.6573963165283203
59	he got up from his spot on the couch when Gerald heard shouting outside the house.	Gerald got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.616530656814575	3.200425148010254	0.4161055088043213
60	he got up from his spot on the couch when Carl heard shouting outside the house.	Carl got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5907559394836426	2.9176414012908936	0.673114538192749
61	he got up from his spot on the couch when Travis heard shouting outside the house.	Travis got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6148147583007812	3.0246636867523193	0.5901510715484619
62	he got up from his spot on the couch when Adam heard shouting outside the house.	Adam got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6157586574554443	2.8149967193603516	0.8007619380950928
63	he got up from his spot on the couch when Marcus heard shouting outside the house.	Marcus got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.578674793243408	2.821223735809326	0.757451057434082
64	he got up from his spot on the couch when Phillip heard shouting outside the house.	Phillip got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7328360080718994	2.672483444213867	1.0603525638580322
65	he got up from his spot on the couch when Derek heard shouting outside the house.	Derek got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.65281343460083	3.134580612182617	0.5182328224182129
66	he got up from his spot on the couch when Vincent heard shouting outside the house.	Vincent got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.61586594581604	3.069822072982788	0.546043872833252
67	he got up from his spot on the couch when Wayne heard shouting outside the house.	Wayne got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.539388418197632	3.0568885803222656	0.4824998378753662
68	he got up from his spot on the couch when Benjamin heard shouting outside the house.	Benjamin got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6719746589660645	2.7153468132019043	0.9566278457641602
69	he got up from his spot on the couch when Joel heard shouting outside the house.	Joel got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.747973918914795	2.818582534790039	0.9293913841247559
70	he got up from his spot on the couch when Lawrence heard shouting outside the house.	Lawrence got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.591491937637329	2.8736817836761475	0.7178101539611816
71	he got up from his spot on the couch when Curtis heard shouting outside the house.	Curtis got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6770009994506836	2.7864761352539062	0.8905248641967773
72	he got up from his spot on the couch when Walter heard shouting outside the house.	Walter got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6642422676086426	2.5591139793395996	1.105128288269043
73	he got up from his spot on the couch when Alan heard shouting outside the house.	Alan got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.626152515411377	2.901268482208252	0.724884033203125
74	he got up from his spot on the couch when Martin heard shouting outside the house.	Martin got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5302534103393555	2.681373119354248	0.8488802909851074
75	he got up from his spot on the couch when Homer heard shouting outside the house.	Homer got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6331796646118164	3.0972068309783936	0.5359728336334229
76	he got up from his spot on the couch when Bruce heard shouting outside the house.	Bruce got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5645761489868164	2.7338509559631348	0.8307251930236816
77	he got up from his spot on the couch when Carlos heard shouting outside the house.	Carlos got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6590590476989746	2.6716928482055664	0.9873661994934082
78	he got up from his spot on the couch when Brett heard shouting outside the house.	Brett got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6939194202423096	3.0823957920074463	0.6115236282348633
79	he got up from his spot on the couch when Alexander heard shouting outside the house.	Alexander got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6148228645324707	2.8270950317382812	0.7877278327941895
80	he got up from his spot on the couch when Omar heard shouting outside the house.	Omar got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6519417762756348	2.9636337757110596	0.6883080005645752
81	he got up from his spot on the couch when Guy heard shouting outside the house.	Guy got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.6372647285461426	2.8253917694091797	0.8118729591369629
82	he got up from his spot on the couch when Dan heard shouting outside the house.	Dan got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.5359158515930176	2.9008963108062744	0.6350195407867432
83	she got up from her spot on the couch when Jennifer heard shouting outside the house.	Jennifer got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.47111439704895	2.80464243888855	0.6664719581604004
84	she got up from her spot on the couch when Lisa heard shouting outside the house.	Lisa got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.4001407623291016	2.5806403160095215	0.8195004463195801
85	she got up from her spot on the couch when Kimberley heard shouting outside the house.	Kimberley got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.715517997741699	2.7563974857330322	0.959120512008667
86	she got up from her spot on the couch when Michelle heard shouting outside the house.	Michelle got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.4190855026245117	2.740629196166992	0.6784563064575195
87	she got up from her spot on the couch when Amy heard shouting outside the house.	Amy got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.3617491722106934	2.800100326538086	0.5616488456726074
88	she got up from her spot on the couch when Angela heard shouting outside the house.	Angela got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.461660385131836	2.7283241748809814	0.7333362102508545
89	she got up from her spot on the couch when Melissa heard shouting outside the house.	Melissa got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.457019805908203	2.7088751792907715	0.7481446266174316
