	context_1	context_2	context_3	high_loss_example	low_loss_example	set_id	cataphora_condition	high_loss	low_loss	loss_diff
0	The students would have their final exams in a week, so they decided to dedicate the weekend to studying.			In the library, Sam gave a book Pamela.	In the library, Sam gave Pamela a book.	filler_ditransitive		3.8274424076080322	3.3814337253570557	0.44600868225097656
1	The team had a number of setbacks in the past month, and tensions were high.			In the last meeting, Kim were criticizing Alan.	In the last meeting, Kim was criticizing Alan.	filler_SVAgree_01		3.9910202026367188	3.7730588912963867	0.21796131134033203
2	The competitive nature of the company was extremely stressful, and so many employees tried to demonstrate their worth.			During the weekly meeting, John insulted Mary while praising herself.	During the weekly meeting, John insulted Mary while praising himself.	filler_reflexive_01		4.307793617248535	4.258358001708984	0.04943561553955078
3	The show on Friday was quickly approaching. However, the actors did not feel completely prepared, so they decided to do another rehearsal.			During the rehearsal, John seemed very.	During the rehearsal, John seemed very pleased. 	filler_argument?		3.7605769634246826	3.7504782676696777	0.010098695755004883
4	The company was growing quickly, so it was being moved to a bigger location. In the new building, Janet was putting up pictures at her desk. Meanwhile, 			Amy showed him Paul's new office.	Amy showed Paul his new office.	G20_01	A	4.068533897399902	4.079248428344727	-0.010714530944824219
5	Summer was coming to an end. The students were returning to university, many of them by train.			At the train station, Toby told Sarah to take care of himself.	At the train station, Toby told Sarah to take care of herself.	filler_reflexive_02		3.1643402576446533	3.0973782539367676	0.06696200370788574
6	The Merriman award was one of the most prestigious art scholarships. Ben thought he had a good chance, but			It was clear to her that Sue would win the scholarship	It was clear to Sue that she would win the scholarship	K01_01	U	3.883507013320923	3.706000804901123	0.1775062084197998
7	The Saturday play was highly anticipated. When the evening finally arrived, everyone filed into their seats in the auditorium.			During the first act, the children amused.	During the first act, the children amused the audience.	filler_argument?		4.02656364440918	3.713371515274048	0.31319212913513184
8	It was the perfect summer day to spend outdoors. Mary went for a jog along the river.			His roommate met John at the park.	John's roommate met him at the park.	GH98_01	A	3.8029189109802246	3.591019868850708	0.2118990421295166
9	The weekly study session was taking place in the school library. At the corner desk, Susan reviewed the textbook.			At the main table, he gave Fiona Matt's class notes.	At the main table, Matt gave Fiona his class notes.	G20_02	U	4.3467254638671875	4.15206241607666	0.19466304779052734
10	At the Christmas party, there was a lot of excitement about the honeymoon.			After dinner, Lisa showed a picture from the trip Tom.	After dinner, Lisa showed Tom a picture from the trip.	filler_ditransitive		3.518465995788574	2.9544246196746826	0.5640413761138916
11	The assigned summer reading was relatively easy compared to previous years. Anne had managed to finish in only one week. Therefore,			It was surprising to his classmates that Carl wasn't able to complete the reading.	It was surprising to Carl's classmates that he wasn't able to complete the reading.	K01_02	A	4.010721206665039	3.8934006690979004	0.11732053756713867
12	Summer had finally arrived, and vacation plans were underway. Mark went to see the Colosseum in Rome.			She visited Lisa's brother in Spain.	Lisa visited her brother in Spain	GH98_02	U	3.5604982376098633	3.4070630073547363	0.15343523025512695
13	The football team usually performed poorly, but recently they seemed to be doing better.			On Tuesday, Brad were bragging about the latest win.	On Tuesday, Brad was bragging about the latest win.	filler_SVAgree_02		3.9530093669891357	3.80379056930542	0.14921879768371582
14	It was a long and exhausting drive through the desert. Julia was asleep in the passenger seat of the car.			He rubbed his tired eyes in fatigue just as Larry spotted the motel.	Larry rubbed his tired eyes in fatigue just as he spotted the motel.	HB02_01	U	3.480410575866699	3.3804614543914795	0.09994912147521973
15	It was a quiet Friday, and a list of chores was on the agenda. Jack was on the front lawn mowing the grass.			She was finishing the meal preparations when Maggie remembered the doctor appointment in the afternoon. 	Maggie was finishing the meal preparations when she remembered the doctor appointment in the afternoon. 	HB02_02	A	3.6595046520233154	3.5401828289031982	0.11932182312011719
