	context_1	context_2	context_3	high_loss_example	low_loss_example	set_id	cataphora_condition	high_loss	low_loss	loss_diff
0	The students would have their final exams in a week, so they decided to dedicate the weekend to studying.			In the library, Sam gave a book Pamela.	In the library, Sam gave Pamela a book.	filler_ditransitive		4.077291488647461	3.684710741043091	0.3925807476043701
1	The team had a number of setbacks in the past month, and tensions were high.			In the last meeting, Kim were criticizing Alan.	In the last meeting, Kim was criticizing Alan.	filler_SVAgree_01		4.190300941467285	3.996001720428467	0.19429922103881836
2	The competitive nature of the company was extremely stressful, and so many employees tried to demonstrate their worth.			During the weekly meeting, John insulted Mary while praising herself.	During the weekly meeting, John insulted Mary while praising himself.	filler_reflexive_01		4.357874393463135	4.3652167320251465	-0.007342338562011719
3	The show on Friday was quickly approaching. However, the actors did not feel completely prepared, so they decided to do another rehearsal.			During the rehearsal, John seemed very.	During the rehearsal, John seemed very pleased. 	filler_argument?		3.9886746406555176	3.938218355178833	0.05045628547668457
4	The company was growing quickly, so it was being moved to a bigger location. In the new building, Janet was putting up pictures at her desk. Meanwhile, 			Amy showed him Paul's new office.	Amy showed Paul his new office.	G20_01	A	4.206390380859375	4.294532299041748	-0.08814191818237305
5	Summer was coming to an end. The students were returning to university, many of them by train.			At the train station, Toby told Sarah to take care of himself.	At the train station, Toby told Sarah to take care of herself.	filler_reflexive_02		3.208984613418579	3.1524930000305176	0.05649161338806152
6	The Merriman award was one of the most prestigious art scholarships. Ben thought he had a good chance, but			It was clear to her that Sue would win the scholarship	It was clear to Sue that she would win the scholarship	K01_01	U	4.229044437408447	4.189541816711426	0.039502620697021484
7	The Saturday play was highly anticipated. When the evening finally arrived, everyone filed into their seats in the auditorium.			During the first act, the children amused.	During the first act, the children amused the audience.	filler_argument?		3.9150288105010986	3.6700596809387207	0.24496912956237793
8	It was the perfect summer day to spend outdoors. Mary went for a jog along the river.			His roommate met John at the park.	John's roommate met him at the park.	GH98_01	A	4.038441181182861	3.733229637145996	0.30521154403686523
9	The weekly study session was taking place in the school library. At the corner desk, Susan reviewed the textbook.			At the main table, he gave Fiona Matt's class notes.	At the main table, Matt gave Fiona his class notes.	G20_02	U	4.712169647216797	4.460017204284668	0.2521524429321289
10	At the Christmas party, there was a lot of excitement about the honeymoon.			After dinner, Lisa showed a picture from the trip Tom.	After dinner, Lisa showed Tom a picture from the trip.	filler_ditransitive		3.6966326236724854	3.275726079940796	0.42090654373168945
11	The assigned summer reading was relatively easy compared to previous years. Anne had managed to finish in only one week. Therefore,			It was surprising to his classmates that Carl wasn't able to complete the reading.	It was surprising to Carl's classmates that he wasn't able to complete the reading.	K01_02	A	4.106224060058594	4.014399528503418	0.09182453155517578
12	Summer had finally arrived, and vacation plans were underway. Mark went to see the Colosseum in Rome.			She visited Lisa's brother in Spain.	Lisa visited her brother in Spain	GH98_02	U	3.935904026031494	3.867602825164795	0.06830120086669922
13	The football team usually performed poorly, but recently they seemed to be doing better.			On Tuesday, Brad were bragging about the latest win.	On Tuesday, Brad was bragging about the latest win.	filler_SVAgree_02		4.132147312164307	4.019410133361816	0.11273717880249023
14	It was a long and exhausting drive through the desert. Julia was asleep in the passenger seat of the car.			He rubbed his tired eyes in fatigue just as Larry spotted the motel.	Larry rubbed his tired eyes in fatigue just as he spotted the motel.	HB02_01	U	3.9724643230438232	3.8128015995025635	0.15966272354125977
15	It was a quiet Friday, and a list of chores was on the agenda. Jack was on the front lawn mowing the grass.			She was finishing the meal preparations when Maggie remembered the doctor appointment in the afternoon. 	Maggie was finishing the meal preparations when she remembered the doctor appointment in the afternoon. 	HB02_02	A	4.0523481369018555	3.908769130706787	0.14357900619506836
