	high_loss_example	low_loss_example	set_id	cataphora_condition	high_loss	low_loss	loss_diff
0	She got up from her spot on the couch when May heard shouting outside the house.	May got up from her spot on the couch when she heard shouting outside the house.	HB02	U	3.3934199810028076	3.0087547302246094	0.38466525077819824
1	She was getting ready to lie down on the couch when May heard shouting outside the house.	May was getting ready to lie down on the couch when she heard shouting outside the house.	HB02	A	3.1629064083099365	2.814939498901367	0.34796690940856934
2	He rubbed his tired eyes in fatigue just as Jack spotted the car behind a billboard.	Jack rubbed his tired eyes in fatigue just as he spotted the car behind a billboard.	HB02	U	4.869925498962402	4.558809280395508	0.31111621856689453
3	He was rubbing his tired eyes in fatigue when Jack spotted the car behind a billboard.	Jack was rubbing his tired eyes in fatigue when he spotted the car behind a billboard.	HB02	A	4.6185173988342285	4.175058364868164	0.44345903396606445
4	He stopped unpacking when Jeff lost the inventory list.	Jeff stopped unpacking when he lost the inventory list.	HB02	U	5.505647659301758	4.829433917999268	0.6762137413024902
5	He had just begun unpacking when Jeff lost the inventory list.	Jeff had just begun unpacking when he lost the inventory list.	HB02	A	4.804276943206787	4.253244400024414	0.551032543182373
6	She finished the meal preparations before Maggie remembered they had forgotten an important ingredient.	Maggie finished the meal preparations before she remembered they had forgotten an important ingredient.	HB02	U	5.0413618087768555	4.706956386566162	0.33440542221069336
7	She had already finished the meal preparations when Maggie remembered they had forgotten an important ingredient. 	Maggie had already finished the meal preparations when she remembered they had forgotten an important ingredient. 	HB02	A	4.532365322113037	4.10398006439209	0.42838525772094727
8	He placed a few bets even though Mike was advised that the cops were in the bar.	Mike placed a few bets even though he was advised that the cops were in the bar.	HB02	U	4.502612113952637	4.008383274078369	0.4942288398742676
9	He was about to place a few bets when Mike was advised that the cops were in the bar.	Mike was about to place a few bets when he was advised that the cops were in the bar.	HB02	A	3.878056526184082	3.5339741706848145	0.3440823554992676
10	He felt very confident until Larry was accosted by a grim-faced policeman.	Larry felt very confident until he was accosted by a grim-faced policeman.	HB02	U	4.118015289306641	3.5996689796447754	0.5183463096618652
11	He had just entered the room when Larry was accosted by a grim-faced policeman.	Larry had just entered the room when he was accosted by a grim-faced policeman.	HB02	A	3.0738985538482666	2.5819690227508545	0.4919295310974121
12	He discussed a bankruptcy option before Marshall hit on a solution to their problems.	Marshall discussed a bankruptcy option before he hit on a solution to their problems.	HB02	U	5.1183600425720215	4.475854396820068	0.6425056457519531
13	He was discussing a bankruptcy option when Marshall hit on a solution to their problems.	Marshall was discussing a bankruptcy option when he hit on a solution to their problems.	HB02	A	4.556318759918213	3.9218811988830566	0.6344375610351562
14	He spat into the mask as Carlos dropped the weight belts on his foot.	Carlos spat into the mask as he dropped the weight belts on his foot.	HB02	U	5.4727654457092285	4.780327320098877	0.6924381256103516
15	He was spitting into the mask when Carlos dropped the weight belts on his foot.	Carlos was spitting into the mask when he dropped the weight belts on his foot.	HB02	A	5.094850063323975	4.467512130737305	0.6273379325866699
16	She began to complain about her bad grade though Liz observed that their professor was standing nearby.	Liz began to complain about her bad grade though she observed that their professor was standing nearby.	HB02	U	5.185820579528809	4.850152969360352	0.33566761016845703
17	She had just begun to complain about her bad grade even though Liz observed that their professor was standing nearby.	Liz had just begun to complain about her bad grade even though she observed that their professor was standing nearby.	HB02	A	4.784880638122559	4.280587673187256	0.5042929649353027
18	He decided to purchase the magazine when Scott saw that a friend of theirs was on the cover.	Scott decided to purchase the magazine when he saw that a friend of theirs was on the cover.	HB02	U	3.743837594985962	3.183609962463379	0.560227632522583
19	He was deciding to purchase the magazine when Scott saw that a friend of theirs was on the cover.	Scott was deciding to purchase the magazine when he saw that a friend of theirs was on the cover.	HB02	A	3.979440689086914	3.4477345943450928	0.5317060947418213
20	He tossed the trains at the wall when Walter discovered some trains would no longer function.	Walter tossed the trains at the wall when he discovered some trains would no longer function.	HB02	U	5.413458824157715	4.551842212677002	0.8616166114807129
21	He was tossing the trains at the wall when Walter discovered some trains would no longer function.	Walter was tossing the trains at the wall when he discovered some trains would no longer function.	HB02	A	5.228753089904785	4.525700092315674	0.7030529975891113
22	He stayed with underground writers when Ben was ordered to leave the country.	Ben stayed with underground writers when he was ordered to leave the country.	HB02	U	5.1149797439575195	4.38627290725708	0.7287068367004395
23	He was staying with underground writers when Ben was ordered to leave the country.	Ben was staying with underground writers when he was ordered to leave the country.	HB02	A	4.663966655731201	4.164952754974365	0.49901390075683594
24	He stopped to buy some extra film when Jerry saw a really cute monkey. 	Jerry stopped to buy some extra film when he saw a really cute monkey. 	HB02	U	5.5274810791015625	4.721159934997559	0.8063211441040039
25	He was stopping to buy some extra film when Jerry saw a really cute monkey. 	Jerry was stopping to buy some extra film when he saw a really cute monkey. 	HB02	A	5.1724419593811035	4.488872528076172	0.6835694313049316
26	She rowed towards shore when Felice felt the first ominous drops of rain. 	Felice rowed towards shore when she felt the first ominous drops of rain. 	HB02	U	5.160774230957031	4.78831672668457	0.37245750427246094
27	She was rowing towards shore when Felice felt the first ominous drops of rain. 	Felice was rowing towards shore when she felt the first ominous drops of rain. 	HB02	A	4.639889717102051	4.012338161468506	0.6275515556335449
28	He described the various expenses when Bruce observed that the financial counsellor looked dubious.	Bruce described the various expenses when he observed that the financial counsellor looked dubious.	HB02	U	5.545159339904785	4.951679706573486	0.5934796333312988
29	He was describing the various expenses when Bruce observed that the financial counsellor looked dubious.	Bruce was describing the various expenses when he observed that the financial counsellor looked dubious.	HB02	A	5.251631736755371	4.718768119812012	0.5328636169433594
30	He started a new business when Greg heard that the Feds were closing down the old company. 	Greg started a new business when he heard that the Feds were closing down the old company. 	HB02	U	3.9581491947174072	3.5685160160064697	0.3896331787109375
31	He was starting a new business when Greg heard that the Feds were closing down the old company. 	Greg was starting a new business when he heard that the Feds were closing down the old company. 	HB02	A	3.8172202110290527	3.4757087230682373	0.34151148796081543
32	He decided to join the Army when David received a telegram that their father had died. 	David decided to join the Army when he received a telegram that their father had died. 	HB02	U	3.8376872539520264	3.5738792419433594	0.263808012008667
33	He was deciding to join the Army when David received a telegram that their father had died. 	David was deciding to join the Army when he received a telegram that their father had died. 	HB02	A	3.8947296142578125	3.656572103500366	0.2381575107574463
34	She yelled about the landslide when Darlene was struck by a falling rock.	Darlene yelled about the landslide when she was struck by a falling rock.	HB02	U	4.211432933807373	3.9341468811035156	0.2772860527038574
